,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,870,9,25,15,10,3,5,6,24,33
automobile,6,923,0,2,1,4,5,1,7,51
bird,51,3,697,44,56,52,62,24,6,5
cat,11,3,45,603,33,203,57,26,10,9
deer,13,0,46,46,773,30,42,45,3,2
dog,6,2,23,130,31,743,16,47,0,2
frog,5,5,20,36,10,18,898,3,3,2
horse,14,1,18,25,38,50,5,845,0,4
ship,54,24,5,11,1,3,5,3,866,28
truck,23,62,4,8,0,2,5,11,11,874
