,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,857,15,24,17,10,3,7,9,31,27
automobile,6,917,1,4,2,2,6,2,8,52
bird,52,1,726,45,66,43,44,14,1,8
cat,15,6,36,662,57,130,39,35,7,13
deer,12,1,47,44,811,18,27,34,4,2
dog,12,4,27,135,34,727,13,43,0,5
frog,4,5,22,53,23,14,870,2,1,6
horse,9,1,21,24,44,43,1,847,0,10
ship,51,24,8,13,3,3,0,1,873,24
truck,23,58,5,8,3,2,7,9,15,870
