,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,872,10,26,8,7,4,10,6,41,16
automobile,5,927,0,1,2,3,2,0,11,49
bird,46,1,785,31,41,31,43,14,5,3
cat,15,2,42,713,42,110,41,17,6,12
deer,6,2,32,24,868,11,22,27,8,0
dog,5,2,21,119,31,790,7,22,2,1
frog,4,3,23,34,19,8,903,3,1,2
horse,8,1,10,22,27,31,3,890,1,7
ship,36,12,7,4,0,2,1,2,924,12
truck,16,25,2,3,0,0,3,3,12,936
