,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,853,7,29,16,10,3,10,4,44,24
automobile,10,878,1,5,0,3,5,1,21,76
bird,47,1,756,42,49,40,38,13,8,6
cat,15,1,43,672,54,124,38,26,14,13
deer,17,1,52,34,787,27,26,49,4,3
dog,10,1,34,140,34,715,9,41,10,6
frog,3,2,27,41,23,23,867,7,4,3
horse,16,2,19,31,28,35,4,853,3,9
ship,36,2,10,5,4,4,3,2,921,13
truck,25,43,3,4,0,2,5,7,27,884
